day number	week number	date and time	timestamp	% of day boot on	% of day boot off	hours with boot on	hours with boot off	maximum number of walking steps given hours with boot on	maximum number of walking steps given hours with boot off	number of steps with boot on	number of steps with boot off	total number of steps	temperature difference between feet (deg C)	hours at work	hours at home	hours elsewhere	% of day at work	% of day at home	% of day elsewhere	% of time at work with boot on	% of time at work with boot off	% of time at home with boot on	% of time at home with boot off	% of time elsewhere with boot on	% of time elsewhere with boot off
25	4	25-Jan-18 0:00	1516838400	0.62	0.38	14.88	9.12	107136	65664	15833	22175	38008	0.85	1	0	23	0.04	0	0.96	0.22	0.78	0.7	0.3	0.79	0.21
26	4	26-Jan-18 0:00	1516924800	0.18	0.82	4.32	19.68	31104	141696	15721	111046	126767	1.52	0	17	7	0	0.71	0.29	0.67	0.33	0.92	0.08	0.85	0.15
27	4	27-Jan-18 0:00	1517011200	0.2	0.8	4.8	19.2	34560	138240	2458	129491	131949	1.33	1	17	6	0.04	0.71	0.25	0.43	0.57	0.49	0.51	0.72	0.28
28	4	28-Jan-18 0:00	1517097600	1	0	24	0	172800	0	89317	0	89317	1.3	6	11	7	0.25	0.46	0.29	0.81	0.19	0.34	0.66	0.96	0.04
29	5	29-Jan-18 0:00	1517184000	0.74	0.26	17.76	6.24	127872	44928	69411	38262	107673	1.68	9	5	10	0.38	0.21	0.42	0.78	0.22	0.65	0.35	0.68	0.32
30	5	30-Jan-18 0:00	1517270400	0.35	0.65	8.4	15.6	60480	112320	16594	99896	116490	1.97	7	17	0	0.29	0.71	0	0.1	0.9	0.79	0.21	0.07	0.93
31	5	31-Jan-18 0:00	1517356800	0.89	0.11	21.36	2.64	153792	19008	88989	13829	102818	0.25	0	19	5	0	0.79	0.21	0.23	0.77	0.86	0.14	0.95	0.05
32	5	01-Feb-18 0:00	1517443200	0.02	0.98	0.48	23.52	3456	169344	1305	80366	81671	1.53	4	10	10	0.17	0.42	0.42	0.86	0.14	0.47	0.53	0.34	0.66
33	5	02-Feb-18 0:00	1517529600	0.61	0.39	14.64	9.36	105408	67392	37643	55341	92984	1.01	8	7	9	0.33	0.29	0.38	0.46	0.54	0.23	0.77	0.82	0.18
34	5	03-Feb-18 0:00	1517616000	0.43	0.57	10.32	13.68	74304	98496	60705	89719	150424	1.9	3	13	8	0.13	0.54	0.33	0.79	0.21	0.42	0.58	0.7	0.3
35	5	04-Feb-18 0:00	1517702400	0.97	0.03	23.28	0.72	167616	5184	74626	3073	77699	0.04	4	15	5	0.17	0.63	0.21	0.67	0.33	0.61	0.39	0.82	0.18
36	6	05-Feb-18 0:00	1517788800	0.99	0.01	23.76	0.24	171072	1728	168669	842	169511	0.74	3	4	17	0.13	0.17	0.71	0.43	0.57	0.65	0.35	0.34	0.66
37	6	06-Feb-18 0:00	1517875200	0.76	0.24	18.24	5.76	131328	41472	112336	29032	141368	0.4	0	20	4	0	0.83	0.17	0.31	0.69	0.53	0.47	0.42	0.58
38	6	07-Feb-18 0:00	1517961600	0.09	0.91	2.16	21.84	15552	157248	5039	40057	45096	1.44	9	12	3	0.38	0.5	0.13	0.6	0.4	0.7	0.3	0.52	0.48
39	6	08-Feb-18 0:00	1518048000	0.92	0.08	22.08	1.92	158976	13824	104631	13166	117797	0.47	6	8	10	0.25	0.33	0.42	0.12	0.88	0.32	0.68	0.66	0.34
40	6	09-Feb-18 0:00	1518134400	0.06	0.94	1.44	22.56	10368	162432	8684	118096	126780	1.68	1	12	11	0.04	0.5	0.46	0.88	0.12	0.37	0.63	0.59	0.41
41	6	10-Feb-18 0:00	1518220800	0.62	0.38	14.88	9.12	107136	65664	45987	12152	58139	0.97	0	24	0	0	1	0	0.14	0.86	0.53	0.47	0.56	0.44
42	6	11-Feb-18 0:00	1518307200	0.42	0.58	10.08	13.92	72576	100224	69959	23006	92965	0.44	9	3	12	0.38	0.13	0.5	0.79	0.21	0.26	0.74	0.92	0.08
43	7	12-Feb-18 0:00	1518393600	0.99	0.01	23.76	0.24	171072	1728	117739	270	118009	0.78	9	14	1	0.38	0.58	0.04	0.26	0.74	0.39	0.61	0.65	0.35
44	7	13-Feb-18 0:00	1518480000	0.98	0.02	23.52	0.48	169344	3456	109109	1967	111076	0.33	9	14	1	0.38	0.58	0.04	0.14	0.86	0.53	0.47	0.57	0.43
45	7	14-Feb-18 0:00	1518566400	0.82	0.18	19.68	4.32	141696	31104	6800	19189	25989	1.23	0	21	3	0	0.88	0.13	0.14	0.86	0.8	0.2	0.92	0.08
46	7	15-Feb-18 0:00	1518652800	0.7	0.3	16.8	7.2	120960	51840	51263	18916	70179	1.45	4	6	14	0.17	0.25	0.58	0.86	0.14	0.17	0.83	0.7	0.3
47	7	16-Feb-18 0:00	1518739200	0.66	0.34	15.84	8.16	114048	58752	457	15605	16062	0.56	8	7	9	0.33	0.29	0.38	0.38	0.62	0.69	0.31	0.93	0.07
48	7	17-Feb-18 0:00	1518825600	0.29	0.71	6.96	17.04	50112	122688	28813	23246	52059	0.34	0	13	11	0	0.54	0.46	0.36	0.64	0.95	0.05	0.91	0.09
49	7	18-Feb-18 0:00	1518912000	0.65	0.35	15.6	8.4	112320	60480	87866	10828	98694	0.15	2	19	3	0.08	0.79	0.13	0.1	0.9	0.68	0.32	0.59	0.41
50	8	19-Feb-18 0:00	1518998400	0.51	0.49	12.24	11.76	88128	84672	87353	9886	97239	1.65	4	15	5	0.17	0.63	0.21	0.37	0.63	0.87	0.13	0.88	0.12
51	8	20-Feb-18 0:00	1519084800	0.41	0.59	9.84	14.16	70848	101952	45146	4798	49944	0.18	5	13	6	0.21	0.54	0.25	0.86	0.14	0.5	0.5	0.13	0.87
52	8	21-Feb-18 0:00	1519171200	0.02	0.98	0.48	23.52	3456	169344	1304	1096	2400	0.49	10	4	10	0.42	0.17	0.42	0.99	0.01	0.7	0.3	0.44	0.56
53	8	22-Feb-18 0:00	1519257600	0.51	0.49	12.24	11.76	88128	84672	68576	78658	147234	0.67	9	0	15	0.38	0	0.63	0.28	0.72	0.22	0.78	0.71	0.29
54	8	23-Feb-18 0:00	1519344000	0.92	0.08	22.08	1.92	158976	13824	72410	2951	75361	0.53	1	0	23	0.04	0	0.96	0.97	0.03	0.32	0.68	0.52	0.48
55	8	24-Feb-18 0:00	1519430400	0.9	0.1	21.6	2.4	155520	17280	110434	15006	125440	1.84	3	17	4	0.13	0.71	0.17	0.68	0.32	0.98	0.02	0.56	0.44
56	8	25-Feb-18 0:00	1519516800	0.23	0.77	5.52	18.48	39744	133056	29504	60343	89847	1.22	5	9	10	0.21	0.38	0.42	0.35	0.65	0.03	0.97	0.68	0.32
57	9	26-Feb-18 0:00	1519603200	0.56	0.44	13.44	10.56	96768	76032	4264	12353	16617	1.4	4	8	12	0.17	0.33	0.5	0.23	0.77	0.39	0.61	0.27	0.73
58	9	27-Feb-18 0:00	1519689600	0.44	0.56	10.56	13.44	76032	96768	25473	24546	50019	0.15	0	4	20	0	0.17	0.83	0.64	0.36	0.99	0.01	0.08	0.92
59	9	28-Feb-18 0:00	1519776000	0.37	0.63	8.88	15.12	63936	108864	27665	34739	62404	1.42	6	8	10	0.25	0.33	0.42	0.65	0.35	0.45	0.55	0.88	0.12
60	9	01-Mar-18 0:00	1519862400	0.3	0.7	7.2	16.8	51840	120960	10058	105347	115405	1.51	1	18	5	0.04	0.75	0.21	0.83	0.17	0.68	0.32	0.2	0.8
61	9	02-Mar-18 0:00	1519948800	0.81	0.19	19.44	4.56	139968	32832	35067	1631	36698	0.02	2	20	2	0.08	0.83	0.08	0.94	0.06	0.79	0.21	0.94	0.06
62	9	03-Mar-18 0:00	1520035200	0.85	0.15	20.4	3.6	146880	25920	11679	20110	31789	1.85	9	13	2	0.38	0.54	0.08	0.26	0.74	0.19	0.81	0.61	0.39
63	9	04-Mar-18 0:00	1520121600	0.17	0.83	4.08	19.92	29376	143424	5303	26128	31431	0.6	7	7	10	0.29	0.29	0.42	0.24	0.76	0.33	0.67	0.67	0.33
64	10	05-Mar-18 0:00	1520208000	0.35	0.65	8.4	15.6	60480	112320	49943	48500	98443	1.17	5	10	9	0.21	0.42	0.38	0.44	0.56	0.18	0.82	0.69	0.31
65	10	06-Mar-18 0:00	1520294400	0.84	0.16	20.16	3.84	145152	27648	27176	9045	36221	0.56	5	15	4	0.21	0.63	0.17	0.84	0.16	0.24	0.76	0.18	0.82
66	10	07-Mar-18 0:00	1520380800	0.06	0.94	1.44	22.56	10368	162432	2330	81831	84161	1.73	3	21	0	0.13	0.88	0	0.59	0.41	0.56	0.44	0.08	0.92
67	10	08-Mar-18 0:00	1520467200	0.9	0.1	21.6	2.4	155520	17280	67495	11011	78506	0.94	1	21	2	0.04	0.88	0.08	0.2	0.8	0.47	0.53	0.71	0.29
68	10	09-Mar-18 0:00	1520553600	0.22	0.78	5.28	18.72	38016	134784	34565	56321	90886	0.29	5	15	4	0.21	0.63	0.17	0.03	0.97	0.77	0.23	0.36	0.64
69	10	10-Mar-18 0:00	1520640000	0.94	0.06	22.56	1.44	162432	10368	101318	3395	104713	0.7	10	9	5	0.42	0.38	0.21	0.2	0.8	0.68	0.32	0.23	0.77
70	10	11-Mar-18 0:00	1520726400	0.13	0.87	3.12	20.88	22464	150336	3196	61238	64434	0.21	2	18	4	0.08	0.75	0.17	0.14	0.86	0.77	0.23	0.1	0.9
71	11	12-Mar-18 0:00	1520812800	0.37	0.63	8.88	15.12	63936	108864	6004	105884	111888	1.33	5	10	9	0.21	0.42	0.38	0.6	0.4	0.42	0.58	0.82	0.18
72	11	13-Mar-18 0:00	1520899200	0.94	0.06	22.56	1.44	162432	10368	29961	657	30618	1.8	6	17	1	0.25	0.71	0.04	0.97	0.03	0.64	0.36	0.19	0.81
73	11	14-Mar-18 0:00	1520985600	0.59	0.41	14.16	9.84	101952	70848	63558	22750	86308	1.81	7	5	12	0.29	0.21	0.5	0.99	0.01	0.34	0.66	0.75	0.25
74	11	15-Mar-18 0:00	1521072000	0.47	0.53	11.28	12.72	81216	91584	4523	21330	25853	1.27	4	0	20	0.17	0	0.83	0.95	0.05	0.19	0.81	0.94	0.06
75	11	16-Mar-18 0:00	1521158400	0.89	0.11	21.36	2.64	153792	19008	140610	2178	142788	1.29	6	18	0	0.25	0.75	0	0.61	0.39	0.46	0.54	0.7	0.3
76	11	17-Mar-18 0:00	1521244800	0.4	0.6	9.6	14.4	69120	103680	11412	29143	40555	0.61	7	13	4	0.29	0.54	0.17	0.35	0.65	0.08	0.92	0.59	0.41
77	11	18-Mar-18 0:00	1521331200	0.48	0.52	11.52	12.48	82944	89856	45443	54264	99707	0.15	5	5	14	0.21	0.21	0.58	0.51	0.49	0.87	0.13	0.05	0.95
78	12	19-Mar-18 0:00	1521417600	0.22	0.78	5.28	18.72	38016	134784	9089	64722	73811	1.01	1	13	10	0.04	0.54	0.42	0.39	0.61	0.74	0.26	0.96	0.04
79	12	20-Mar-18 0:00	1521504000	0.36	0.64	8.64	15.36	62208	110592	41302	85560	126862	1.29	1	14	9	0.04	0.58	0.38	0.33	0.67	0.55	0.45	0.93	0.07
80	12	21-Mar-18 0:00	1521590400	0.33	0.67	7.92	16.08	57024	115776	11396	5891	17287	1.59	3	7	14	0.13	0.29	0.58	0.45	0.55	0.55	0.45	0.98	0.02
81	12	22-Mar-18 0:00	1521676800	0.56	0.44	13.44	10.56	96768	76032	33098	51253	84351	1.73	7	14	3	0.29	0.58	0.13	0.38	0.62	0.53	0.47	0.34	0.66
82	12	23-Mar-18 0:00	1521763200	0.92	0.08	22.08	1.92	158976	13824	9171	8851	18022	1	9	7	8	0.38	0.29	0.33	0.27	0.73	0.12	0.88	0.47	0.53
83	12	24-Mar-18 0:00	1521849600	0.44	0.56	10.56	13.44	76032	96768	1922	2330	4252	0.97	7	7	10	0.29	0.29	0.42	0.51	0.49	0.74	0.26	0.12	0.88
84	12	25-Mar-18 0:00	1521936000	0.1	0.9	2.4	21.6	17280	155520	7502	34386	41888	0.49	3	11	10	0.13	0.46	0.42	0.47	0.53	0.72	0.28	0.29	0.71
