Day	homeBooton	Steps	Location	Week	Weekday	Boot
43	stepsHomeBootoff	613	Home	7	1	Off
44	stepsHomeBootoff	2004	Home	7	2	Off
45	stepsHomeBootoff	1032	Home	7	3	Off
46	stepsHomeBootoff	780	Home	7	4	Off
47	stepsHomeBootoff	2454	Home	7	5	Off
48	stepsHomeBootoff	1355	Home	7	6	Off
49	stepsHomeBootoff	183	Home	7	7	Off
50	stepsHomeBootoff	1987	Home	8	1	Off
51	stepsHomeBootoff	1603	Home	8	2	Off
52	stepsHomeBootoff	2041	Home	8	3	Off
53	stepsHomeBootoff	653	Home	8	4	Off
54	stepsHomeBootoff	138	Home	8	5	Off
55	stepsHomeBootoff	2309	Home	8	6	Off
56	stepsHomeBootoff	595	Home	8	7	Off
57	stepsHomeBootoff	994	Home	9	1	Off
58	stepsHomeBootoff	1486	Home	9	2	Off
59	stepsHomeBootoff	1125	Home	9	3	Off
60	stepsHomeBootoff	211	Home	9	4	Off
61	stepsHomeBootoff	1109	Home	9	5	Off
62	stepsHomeBootoff	1339	Home	9	6	Off
63	stepsHomeBootoff	913	Home	9	7	Off
64	stepsHomeBootoff	48	Home	10	1	Off
65	stepsHomeBootoff	624	Home	10	2	Off
66	stepsHomeBootoff	2019	Home	10	3	Off
67	stepsHomeBootoff	184	Home	10	4	Off
68	stepsHomeBootoff	272	Home	10	5	Off
69	stepsHomeBootoff	1829	Home	10	6	Off
70	stepsHomeBootoff	2053	Home	10	7	Off
71	stepsHomeBootoff	546	Home	11	1	Off
72	stepsHomeBootoff	1348	Home	11	2	Off
73	stepsHomeBootoff	667	Home	11	3	Off
74	stepsHomeBootoff	441	Home	11	4	Off
75	stepsHomeBootoff	794	Home	11	5	Off
76	stepsHomeBootoff	2472	Home	11	6	Off
77	stepsHomeBootoff	1731	Home	11	7	Off
78	stepsHomeBootoff	2896	Home	12	1	Off
79	stepsHomeBootoff	486	Home	12	2	Off
80	stepsHomeBootoff	431	Home	12	3	Off
81	stepsHomeBootoff	2149	Home	12	4	Off
82	stepsHomeBootoff	158	Home	12	5	Off
83	stepsHomeBootoff	2511	Home	12	6	Off
84	stepsHomeBootoff	2186	Home	12	7	Off
1	stepsWorkBooton	512	Work	1	1	On
2	stepsWorkBooton	4234	Work	1	2	On
3	stepsWorkBooton	1184	Work	1	3	On
4	stepsWorkBooton	79	Work	1	4	On
5	stepsWorkBooton	1040	Work	1	5	On
6	stepsWorkBooton	583	Work	1	6	On
7	stepsWorkBooton	454	Work	1	7	On
8	stepsWorkBooton	735	Work	2	1	On
9	stepsWorkBooton	148	Work	2	2	On
10	stepsWorkBooton	2671	Work	2	3	On
11	stepsWorkBooton	178	Work	2	4	On
12	stepsWorkBooton	411	Work	2	5	On
13	stepsWorkBooton	857	Work	2	6	On
14	stepsWorkBooton	93	Work	2	7	On
15	stepsWorkBooton	1478	Work	3	1	On
16	stepsWorkBooton	70	Work	3	2	On
17	stepsWorkBooton	129	Work	3	3	On
18	stepsWorkBooton	1113	Work	3	4	On
19	stepsWorkBooton	22	Work	3	5	On
20	stepsWorkBooton	1906	Work	3	6	On
21	stepsWorkBooton	324	Work	3	7	On
22	stepsWorkBooton	63	Work	4	1	On
23	stepsWorkBooton	831	Work	4	2	On
24	stepsWorkBooton	725	Work	4	3	On
25	stepsWorkBooton	52	Work	4	4	On
26	stepsWorkBooton	915	Work	4	5	On
27	stepsWorkBooton	861	Work	4	6	On
28	stepsWorkBooton	1205	Work	4	7	On
29	stepsWorkBooton	2156	Work	5	1	On
30	stepsWorkBooton	734	Work	5	2	On
31	stepsWorkBooton	244	Work	5	3	On
32	stepsWorkBooton	115	Work	5	4	On
33	stepsWorkBooton	194	Work	5	5	On
34	stepsWorkBooton	1110	Work	5	6	On
35	stepsWorkBooton	378	Work	5	7	On
36	stepsWorkBooton	1082	Work	6	1	On
37	stepsWorkBooton	566	Work	6	2	On
38	stepsWorkBooton	736	Work	6	3	On
39	stepsWorkBooton	1438	Work	6	4	On
40	stepsWorkBooton	2436	Work	6	5	On
41	stepsWorkBooton	302	Work	6	6	On
42	stepsWorkBooton	261	Work	6	7	On
43	stepsWorkBooton	83	Work	7	1	On
44	stepsWorkBooton	1639	Work	7	2	On
45	stepsWorkBooton	46	Work	7	3	On
46	stepsWorkBooton	890	Work	7	4	On
47	stepsWorkBooton	887	Work	7	5	On
48	stepsWorkBooton	430	Work	7	6	On
49	stepsWorkBooton	459	Work	7	7	On
50	stepsWorkBooton	7	Work	8	1	On
51	stepsWorkBooton	588	Work	8	2	On
52	stepsWorkBooton	180	Work	8	3	On
53	stepsWorkBooton	639	Work	8	4	On
54	stepsWorkBooton	553	Work	8	5	On
55	stepsWorkBooton	1	Work	8	6	On
56	stepsWorkBooton	473	Work	8	7	On
57	stepsWorkBooton	123	Work	9	1	On
58	stepsWorkBooton	448	Work	9	2	On
59	stepsWorkBooton	167	Work	9	3	On
60	stepsWorkBooton	1128	Work	9	4	On
61	stepsWorkBooton	217	Work	9	5	On
62	stepsWorkBooton	464	Work	9	6	On
63	stepsWorkBooton	103	Work	9	7	On
64	stepsWorkBooton	595	Work	10	1	On
65	stepsWorkBooton	321	Work	10	2	On
66	stepsWorkBooton	497	Work	10	3	On
67	stepsWorkBooton	1632	Work	10	4	On
68	stepsWorkBooton	833	Work	10	5	On
69	stepsWorkBooton	272	Work	10	6	On
70	stepsWorkBooton	1661	Work	10	7	On
71	stepsWorkBooton	562	Work	11	1	On
72	stepsWorkBooton	1118	Work	11	2	On
73	stepsWorkBooton	388	Work	11	3	On
74	stepsWorkBooton	109	Work	11	4	On
75	stepsWorkBooton	1311	Work	11	5	On
76	stepsWorkBooton	720	Work	11	6	On
77	stepsWorkBooton	373	Work	11	7	On
78	stepsWorkBooton	1314	Work	12	1	On
79	stepsWorkBooton	114	Work	12	2	On
80	stepsWorkBooton	170	Work	12	3	On
81	stepsWorkBooton	462	Work	12	4	On
82	stepsWorkBooton	113	Work	12	5	On
83	stepsWorkBooton	2202	Work	12	6	On
84	stepsWorkBooton	942	Work	12	7	On
1	stepsWorkBootoff	1115	Work	1	1	Off
2	stepsWorkBootoff	568	Work	1	2	Off
3	stepsWorkBootoff	27	Work	1	3	Off
4	stepsWorkBootoff	507	Work	1	4	Off
5	stepsWorkBootoff	98	Work	1	5	Off
6	stepsWorkBootoff	1039	Work	1	6	Off
7	stepsWorkBootoff	855	Work	1	7	Off
8	stepsWorkBootoff	2057	Work	2	1	Off
9	stepsWorkBootoff	975	Work	2	2	Off
10	stepsWorkBootoff	287	Work	2	3	Off
11	stepsWorkBootoff	1334	Work	2	4	Off
12	stepsWorkBootoff	335	Work	2	5	Off
13	stepsWorkBootoff	1435	Work	2	6	Off
14	stepsWorkBootoff	674	Work	2	7	Off
15	stepsWorkBootoff	2401	Work	3	1	Off
16	stepsWorkBootoff	157	Work	3	2	Off
17	stepsWorkBootoff	182	Work	3	3	Off
18	stepsWorkBootoff	1894	Work	3	4	Off
19	stepsWorkBootoff	155	Work	3	5	Off
20	stepsWorkBootoff	1568	Work	3	6	Off
21	stepsWorkBootoff	140	Work	3	7	Off
22	stepsWorkBootoff	311	Work	4	1	Off
23	stepsWorkBootoff	2787	Work	4	2	Off
24	stepsWorkBootoff	150	Work	4	3	Off
25	stepsWorkBootoff	67	Work	4	4	Off
26	stepsWorkBootoff	990	Work	4	5	Off
27	stepsWorkBootoff	694	Work	4	6	Off
28	stepsWorkBootoff	187	Work	4	7	Off
29	stepsWorkBootoff	158	Work	5	1	Off
30	stepsWorkBootoff	796	Work	5	2	Off
31	stepsWorkBootoff	4796	Work	5	3	Off
32	stepsWorkBootoff	480	Work	5	4	Off
33	stepsWorkBootoff	175	Work	5	5	Off
34	stepsWorkBootoff	416	Work	5	6	Off
35	stepsWorkBootoff	2416	Work	5	7	Off
36	stepsWorkBootoff	1745	Work	6	1	Off
37	stepsWorkBootoff	1546	Work	6	2	Off
38	stepsWorkBootoff	106	Work	6	3	Off
39	stepsWorkBootoff	383	Work	6	4	Off
40	stepsWorkBootoff	1754	Work	6	5	Off
41	stepsWorkBootoff	2402	Work	6	6	Off
42	stepsWorkBootoff	596	Work	6	7	Off
43	stepsWorkBootoff	2410	Work	7	1	Off
44	stepsWorkBootoff	2274	Work	7	2	Off
45	stepsWorkBootoff	222	Work	7	3	Off
46	stepsWorkBootoff	1606	Work	7	4	Off
47	stepsWorkBootoff	210	Work	7	5	Off
48	stepsWorkBootoff	403	Work	7	6	Off
49	stepsWorkBootoff	409	Work	7	7	Off
50	stepsWorkBootoff	801	Work	8	1	Off
51	stepsWorkBootoff	806	Work	8	2	Off
52	stepsWorkBootoff	1079	Work	8	3	Off
53	stepsWorkBootoff	886	Work	8	4	Off
54	stepsWorkBootoff	2294	Work	8	5	Off
55	stepsWorkBootoff	57	Work	8	6	Off
56	stepsWorkBootoff	136	Work	8	7	Off
57	stepsWorkBootoff	8	Work	9	1	Off
58	stepsWorkBootoff	3366	Work	9	2	Off
59	stepsWorkBootoff	28	Work	9	3	Off
60	stepsWorkBootoff	766	Work	9	4	Off
61	stepsWorkBootoff	186	Work	9	5	Off
62	stepsWorkBootoff	1542	Work	9	6	Off
63	stepsWorkBootoff	644	Work	9	7	Off
64	stepsWorkBootoff	3115	Work	10	1	Off
65	stepsWorkBootoff	24	Work	10	2	Off
66	stepsWorkBootoff	154	Work	10	3	Off
67	stepsWorkBootoff	104	Work	10	4	Off
68	stepsWorkBootoff	180	Work	10	5	Off
69	stepsWorkBootoff	975	Work	10	6	Off
70	stepsWorkBootoff	100	Work	10	7	Off
71	stepsWorkBootoff	988	Work	11	1	Off
72	stepsWorkBootoff	719	Work	11	2	Off
73	stepsWorkBootoff	782	Work	11	3	Off
74	stepsWorkBootoff	254	Work	11	4	Off
75	stepsWorkBootoff	317	Work	11	5	Off
76	stepsWorkBootoff	437	Work	11	6	Off
77	stepsWorkBootoff	2800	Work	11	7	Off
78	stepsWorkBootoff	483	Work	12	1	Off
79	stepsWorkBootoff	312	Work	12	2	Off
80	stepsWorkBootoff	654	Work	12	3	Off
81	stepsWorkBootoff	248	Work	12	4	Off
82	stepsWorkBootoff	649	Work	12	5	Off
83	stepsWorkBootoff	297	Work	12	6	Off
84	stepsWorkBootoff	1576	Work	12	7	Off
1	stepsElsewhereBooton	1656	Elsewhere	1	1	On
2	stepsElsewhereBooton	1558	Elsewhere	1	2	On
3	stepsElsewhereBooton	585	Elsewhere	1	3	On
4	stepsElsewhereBooton	406	Elsewhere	1	4	On
5	stepsElsewhereBooton	1204	Elsewhere	1	5	On
6	stepsElsewhereBooton	3272	Elsewhere	1	6	On
7	stepsElsewhereBooton	721	Elsewhere	1	7	On
8	stepsElsewhereBooton	2091	Elsewhere	2	1	On
9	stepsElsewhereBooton	855	Elsewhere	2	2	On
10	stepsElsewhereBooton	2049	Elsewhere	2	3	On
11	stepsElsewhereBooton	830	Elsewhere	2	4	On
12	stepsElsewhereBooton	1879	Elsewhere	2	5	On
13	stepsElsewhereBooton	3013	Elsewhere	2	6	On
14	stepsElsewhereBooton	88	Elsewhere	2	7	On
15	stepsElsewhereBooton	1907	Elsewhere	3	1	On
16	stepsElsewhereBooton	2731	Elsewhere	3	2	On
17	stepsElsewhereBooton	3258	Elsewhere	3	3	On
18	stepsElsewhereBooton	3775	Elsewhere	3	4	On
19	stepsElsewhereBooton	2364	Elsewhere	3	5	On
20	stepsElsewhereBooton	2463	Elsewhere	3	6	On
21	stepsElsewhereBooton	189	Elsewhere	3	7	On
22	stepsElsewhereBooton	2208	Elsewhere	4	1	On
23	stepsElsewhereBooton	819	Elsewhere	4	2	On
24	stepsElsewhereBooton	2182	Elsewhere	4	3	On
25	stepsElsewhereBooton	1621	Elsewhere	4	4	On
26	stepsElsewhereBooton	1912	Elsewhere	4	5	On
27	stepsElsewhereBooton	226	Elsewhere	4	6	On
28	stepsElsewhereBooton	651	Elsewhere	4	7	On
29	stepsElsewhereBooton	552	Elsewhere	5	1	On
30	stepsElsewhereBooton	937	Elsewhere	5	2	On
31	stepsElsewhereBooton	3328	Elsewhere	5	3	On
32	stepsElsewhereBooton	70	Elsewhere	5	4	On
33	stepsElsewhereBooton	2805	Elsewhere	5	5	On
34	stepsElsewhereBooton	169	Elsewhere	5	6	On
35	stepsElsewhereBooton	970	Elsewhere	5	7	On
36	stepsElsewhereBooton	693	Elsewhere	6	1	On
37	stepsElsewhereBooton	730	Elsewhere	6	2	On
38	stepsElsewhereBooton	289	Elsewhere	6	3	On
39	stepsElsewhereBooton	646	Elsewhere	6	4	On
40	stepsElsewhereBooton	1908	Elsewhere	6	5	On
41	stepsElsewhereBooton	4166	Elsewhere	6	6	On
42	stepsElsewhereBooton	370	Elsewhere	6	7	On
43	stepsElsewhereBooton	1170	Elsewhere	7	1	On
44	stepsElsewhereBooton	2334	Elsewhere	7	2	On
45	stepsElsewhereBooton	814	Elsewhere	7	3	On
46	stepsElsewhereBooton	798	Elsewhere	7	4	On
47	stepsElsewhereBooton	5801	Elsewhere	7	5	On
48	stepsElsewhereBooton	48	Elsewhere	7	6	On
49	stepsElsewhereBooton	728	Elsewhere	7	7	On
50	stepsElsewhereBooton	672	Elsewhere	8	1	On
51	stepsElsewhereBooton	244	Elsewhere	8	2	On
52	stepsElsewhereBooton	806	Elsewhere	8	3	On
53	stepsElsewhereBooton	1762	Elsewhere	8	4	On
54	stepsElsewhereBooton	5	Elsewhere	8	5	On
55	stepsElsewhereBooton	1818	Elsewhere	8	6	On
56	stepsElsewhereBooton	121	Elsewhere	8	7	On
57	stepsElsewhereBooton	1501	Elsewhere	9	1	On
58	stepsElsewhereBooton	422	Elsewhere	9	2	On
59	stepsElsewhereBooton	1187	Elsewhere	9	3	On
60	stepsElsewhereBooton	1242	Elsewhere	9	4	On
61	stepsElsewhereBooton	1494	Elsewhere	9	5	On
62	stepsElsewhereBooton	5269	Elsewhere	9	6	On
63	stepsElsewhereBooton	2731	Elsewhere	9	7	On
64	stepsElsewhereBooton	173	Elsewhere	10	1	On
65	stepsElsewhereBooton	267	Elsewhere	10	2	On
66	stepsElsewhereBooton	280	Elsewhere	10	3	On
67	stepsElsewhereBooton	1679	Elsewhere	10	4	On
68	stepsElsewhereBooton	1094	Elsewhere	10	5	On
69	stepsElsewhereBooton	1764	Elsewhere	10	6	On
70	stepsElsewhereBooton	1034	Elsewhere	10	7	On
71	stepsElsewhereBooton	2861	Elsewhere	11	1	On
72	stepsElsewhereBooton	323	Elsewhere	11	2	On
73	stepsElsewhereBooton	2336	Elsewhere	11	3	On
74	stepsElsewhereBooton	3104	Elsewhere	11	4	On
75	stepsElsewhereBooton	1155	Elsewhere	11	5	On
76	stepsElsewhereBooton	922	Elsewhere	11	6	On
77	stepsElsewhereBooton	3663	Elsewhere	11	7	On
78	stepsElsewhereBooton	2383	Elsewhere	12	1	On
79	stepsElsewhereBooton	952	Elsewhere	12	2	On
80	stepsElsewhereBooton	371	Elsewhere	12	3	On
81	stepsElsewhereBooton	684	Elsewhere	12	4	On
82	stepsElsewhereBooton	1943	Elsewhere	12	5	On
83	stepsElsewhereBooton	1755	Elsewhere	12	6	On
84	stepsElsewhereBooton	331	Elsewhere	12	7	On
1	stepsElsewhereBootoff	2339	Elsewhere	1	1	Off
2	stepsElsewhereBootoff	2438	Elsewhere	1	2	Off
3	stepsElsewhereBootoff	394	Elsewhere	1	3	Off
4	stepsElsewhereBootoff	5089	Elsewhere	1	4	Off
5	stepsElsewhereBootoff	62	Elsewhere	1	5	Off
6	stepsElsewhereBootoff	60	Elsewhere	1	6	Off
7	stepsElsewhereBootoff	4947	Elsewhere	1	7	Off
8	stepsElsewhereBootoff	629	Elsewhere	2	1	Off
9	stepsElsewhereBootoff	743	Elsewhere	2	2	Off
10	stepsElsewhereBootoff	673	Elsewhere	2	3	Off
11	stepsElsewhereBootoff	310	Elsewhere	2	4	Off
12	stepsElsewhereBootoff	810	Elsewhere	2	5	Off
13	stepsElsewhereBootoff	1790	Elsewhere	2	6	Off
14	stepsElsewhereBootoff	1039	Elsewhere	2	7	Off
15	stepsElsewhereBootoff	2161	Elsewhere	3	1	Off
16	stepsElsewhereBootoff	3126	Elsewhere	3	2	Off
17	stepsElsewhereBootoff	1340	Elsewhere	3	3	Off
18	stepsElsewhereBootoff	855	Elsewhere	3	4	Off
19	stepsElsewhereBootoff	284	Elsewhere	3	5	Off
20	stepsElsewhereBootoff	2977	Elsewhere	3	6	Off
21	stepsElsewhereBootoff	834	Elsewhere	3	7	Off
22	stepsElsewhereBootoff	55	Elsewhere	4	1	Off
23	stepsElsewhereBootoff	1699	Elsewhere	4	2	Off
24	stepsElsewhereBootoff	4518	Elsewhere	4	3	Off
25	stepsElsewhereBootoff	198	Elsewhere	4	4	Off
26	stepsElsewhereBootoff	386	Elsewhere	4	5	Off
27	stepsElsewhereBootoff	4108	Elsewhere	4	6	Off
28	stepsElsewhereBootoff	1540	Elsewhere	4	7	Off
29	stepsElsewhereBootoff	1360	Elsewhere	5	1	Off
30	stepsElsewhereBootoff	1405	Elsewhere	5	2	Off
31	stepsElsewhereBootoff	2060	Elsewhere	5	3	Off
32	stepsElsewhereBootoff	4319	Elsewhere	5	4	Off
33	stepsElsewhereBootoff	1233	Elsewhere	5	5	Off
34	stepsElsewhereBootoff	2345	Elsewhere	5	6	Off
35	stepsElsewhereBootoff	3879	Elsewhere	5	7	Off
36	stepsElsewhereBootoff	1319	Elsewhere	6	1	Off
37	stepsElsewhereBootoff	2253	Elsewhere	6	2	Off
38	stepsElsewhereBootoff	556	Elsewhere	6	3	Off
39	stepsElsewhereBootoff	1311	Elsewhere	6	4	Off
40	stepsElsewhereBootoff	1489	Elsewhere	6	5	Off
41	stepsElsewhereBootoff	625	Elsewhere	6	6	Off
42	stepsElsewhereBootoff	835	Elsewhere	6	7	Off
43	stepsElsewhereBootoff	3606	Elsewhere	7	1	Off
44	stepsElsewhereBootoff	890	Elsewhere	7	2	Off
45	stepsElsewhereBootoff	2714	Elsewhere	7	3	Off
46	stepsElsewhereBootoff	1323	Elsewhere	7	4	Off
47	stepsElsewhereBootoff	1436	Elsewhere	7	5	Off
48	stepsElsewhereBootoff	2782	Elsewhere	7	6	Off
49	stepsElsewhereBootoff	905	Elsewhere	7	7	Off
50	stepsElsewhereBootoff	990	Elsewhere	8	1	Off
51	stepsElsewhereBootoff	996	Elsewhere	8	2	Off
52	stepsElsewhereBootoff	56	Elsewhere	8	3	Off
53	stepsElsewhereBootoff	2415	Elsewhere	8	4	Off
54	stepsElsewhereBootoff	5443	Elsewhere	8	5	Off
55	stepsElsewhereBootoff	775	Elsewhere	8	6	Off
56	stepsElsewhereBootoff	3574	Elsewhere	8	7	Off
57	stepsElsewhereBootoff	352	Elsewhere	9	1	Off
58	stepsElsewhereBootoff	2247	Elsewhere	9	2	Off
59	stepsElsewhereBootoff	3886	Elsewhere	9	3	Off
60	stepsElsewhereBootoff	284	Elsewhere	9	4	Off
61	stepsElsewhereBootoff	175	Elsewhere	9	5	Off
62	stepsElsewhereBootoff	297	Elsewhere	9	6	Off
63	stepsElsewhereBootoff	324	Elsewhere	9	7	Off
64	stepsElsewhereBootoff	3080	Elsewhere	10	1	Off
65	stepsElsewhereBootoff	888	Elsewhere	10	2	Off
66	stepsElsewhereBootoff	3283	Elsewhere	10	3	Off
67	stepsElsewhereBootoff	1800	Elsewhere	10	4	Off
68	stepsElsewhereBootoff	1299	Elsewhere	10	5	Off
69	stepsElsewhereBootoff	1991	Elsewhere	10	6	Off
70	stepsElsewhereBootoff	688	Elsewhere	10	7	Off
71	stepsElsewhereBootoff	1495	Elsewhere	11	1	Off
72	stepsElsewhereBootoff	2139	Elsewhere	11	2	Off
73	stepsElsewhereBootoff	1508	Elsewhere	11	3	Off
74	stepsElsewhereBootoff	602	Elsewhere	11	4	Off
75	stepsElsewhereBootoff	791	Elsewhere	11	5	Off
76	stepsElsewhereBootoff	329	Elsewhere	11	6	Off
77	stepsElsewhereBootoff	581	Elsewhere	11	7	Off
78	stepsElsewhereBootoff	20	Elsewhere	12	1	Off
79	stepsElsewhereBootoff	53	Elsewhere	12	2	Off
80	stepsElsewhereBootoff	246	Elsewhere	12	3	Off
81	stepsElsewhereBootoff	838	Elsewhere	12	4	Off
82	stepsElsewhereBootoff	2322	Elsewhere	12	5	Off
83	stepsElsewhereBootoff	2177	Elsewhere	12	6	Off
84	stepsElsewhereBootoff	2665	Elsewhere	12	7	Off
