Dialogue	Step	BranchLevel	Comment	Print	CondJmp	Media	Actions	Var
p1sa	1		This dialogue assumes persona 1 at the end of week 12. Triggered by the researcher (to simulate the system being triggered by what it has seen in the data) the system will initiate the following dialogue.	Hi, you are doing really well with your boot at the moment! Have a look at the information for the last two weeks (so for weeks 11 and 12).  	I can’t talk now;20|OK;91			
p1sa	91			This week you have worn your boot for {{p1s1stepsPercTotal}}% of all the steps you took!	I think my boot has given me back ache. Is there anything I can do to make my back hurt less?;30|That's good, has my ulcer improved?;80			
p1sa	20		If I can’t talk now, then	Ok, you know where I am if you need me. Bye!	END;0			
p1sa	30		If I’ve been making myself wear my boot but it’s been giving me really bad back ache, is there anything I can do to make my back hurt less?, then	If you have another boot or shoe that’s a similar height to your boot then you could try wearing that on your healthy foot. This might reduce your back ache.				
p1sa	40			I’ve sent a message to your healthcare team to let them know that you might be suffering from back ache. They will be able to talk to you about different things you can try to make your pain better.				
p1sa	50			It’s really important that you keep wearing your boot. If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1saTemp}} degrees over the past 2 weeks.			HighlightData	
p1sa	60			This is what we want to see, it suggests that your ulcer is improving. If you continue to wear your boot for most of your steps then we can expect your ulcer to keep getting better.				
p1sa	70			The foot clinic team will discuss your progress with you in more detail the next time you see them. You should keep wearing your boot, you are doing great!	END;0			
p1sa	80		If Great, has my ulcer improved?, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1saTemp}} degrees over the past 2 weeks.			HighlightData	
p1sa	90			This is what we want to see, it suggests that your ulcer is improving. If you continue to wear your boot for most of your steps then we can expect your ulcer to keep getting better.				
p1sa	100			The foot clinic team will discuss your progress with you in more detail the next time you see them. You should keep wearing your boot, you are doing great! Bye!	END;0			
p1sb	1		This dialogue assumes persona 1 at the end of week 12. The researcher triggers the dialogue to simulate that, as per the patient's preferences, every Sunday at 6pm the system will initiate a dialogue with the patient to review their progress.	Hi, how's your week been?	Great!;30|Ok;30|Really awful;40|I don't want to talk to you now;20			
p1sb	20		If I don't want to talk to you now, then	Ok, you know where I am if you need me. Bye. 	END;0			
p1sb	30		If Great|Ok, then	Glad to hear that!	Continue;50			
p1sb	40		If Really awful, then	I'm sorry to hear that, I hope next week is better for you.				
p1sb	50			How have you been getting on with wearing your boot this week (so week 12)?	Good, I've barely taken it off;60|I don't think I've worn it as much as I should have done;170|I don't know.;280			
p1sb	60		If Good, I've barely taken it off, then	That's great! I can see from your data that you're right, you have worn your boot for {{p1sbStepsPercTotal12}}% of all steps you have taken this week.			HighlightData	
p1sb	960			You are wearing your boot much more than you were last month. 4 weeks ago you only wore your boot for {{p1sbStepsPercTotal8}}% of your steps. 				
p1sb	70			Do you think your foot ulcer is getting better?	I don't know;80|Yes, I think the data shows that it's getting better;110|I think it's getting worse.;140		HighlightData	
p1sb	80	2	If I don’t know, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	110	2	If Yes, I think my data shows that it's getting better, then	You're right! If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	140	2	If I think it's getting worse, then	Actually, your data suggests it's been getting better. If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	170		If I don't think I've worn it as much as I should have done, then	I’m surprised you think that. I can see from your data that  actually you have worn your boot for {{p1sbStepsPercTotal12}}% of all steps you have taken this week.			HighlightData	
p1sb	180			You are wearing your boot much more than you were last month. 4 weeks ago you only wore your boot for {{p1sbStepsPercTotal8}}% of your steps. 			HighlightData	
p1sb	9180			Do you think your foot ulcer is getting better?	I don't know;190|Yes, I think the data shows that it's getting better;220|I think it's getting worse.;250			
p1sb	190	2	If I don’t know, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	220	2	If Yes, I think my data shows that it's getting better, then	You're right! If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	250	2	If I think it's getting worse, then	Actually, your data suggests it's been getting better. If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	280		If I don't know, then	I can see from your data that you have worn your boot for {{p1sbStepsPercTotal12}}% of all steps you have taken this week.			HighlightData	
p1sb	9280			You are wearing your boot much more than you were last month. 4 weeks ago you only wore your boot for {{p1sbStepsPercTotal8}}% of your steps. 				
p1sb	290			Do you think your foot ulcer is getting better?	I don't know;300|Yes, I think the data shows that it's getting better;330|I think it's getting worse.;360		HighlightData	
p1sb	300	2	If I don’t know, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	330	2	If Yes, I think my data shows that it's getting better, then	You're right! If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.	Continue;370		HighlightData	
p1sb	360	2	If I think it's getting worse, then	Actually, your data suggests it's been getting better. If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's gone down by {{p1sbTemp}} degrees this week.			HighlightData	
p1sb	370	2		This is what we want to see, it suggests that your ulcer is improving. If you continue to wear your boot for most of your steps then we can expect your ulcer to keep getting better.				
p1sb	380	2		The foot clinic team will discuss your progress with you in more detail the next time you see them. You should keep wearing your boot, you are doing great! Bye!	END;0			
